No.Invoice,Tanggal Invoice,No.Urut,Nama Pelanggan,Kode Produk,Quantity, Gross sales , Discount , Net sales ,Jenis Kirim,Ongkir/Unit,Total Sales,ID Salesman
ORD-BS-00241100521-3,1/21/2020,2,Ithaca Mountain Climbers,BR-EA-013,1," 3,200 ", - ," 3,200 ",1,50," 3,250 ",848311
ORD-BS-00241100521-3,1/21/2020,3,Ithaca Mountain Climbers,BM-OC-047,1," 7,990 ", 80 ," 7,910 ",1,50," 7,960 ",848311
ORD-BS-00241100521-3,1/21/2020,4,Ithaca Mountain Climbers,BM-CC-064,1," 4,260 ", 43 ," 4,217 ",1,50," 4,267 ",848311
ORD-BS-00241100521-3,1/21/2020,5,Ithaca Mountain Climbers,BM-SA-097,1, 415 , - , 415 ,2,30, 475 ,848311
ORD-BS-00241100521-3,1/21/2020,6,Ithaca Mountain Climbers,BR-EC-027,1," 3,730 ", 37 ," 3,693 ",2,30," 3,753 ",848311
ORD-BS-00241106528-3,1/23/2020,1,Ithaca Mountain Climbers,BR-EC-026,1," 4,800 ", 48 ," 4,752 ",2,30," 4,812 ",599012
ORD-BS-00241106528-3,1/23/2020,2,Ithaca Mountain Climbers,BM-TA-087,1," 2,340 ", - ," 2,340 ",1,50," 2,390 ",599012
ORD-BS-00241106528-3,1/23/2020,3,Ithaca Mountain Climbers,BM-OC-049,1," 3,840 ", 38 ," 3,802 ",1,50," 3,852 ",599012
ORD-BS-00241106528-3,1/23/2020,4,Ithaca Mountain Climbers,BM-TA-080,1," 2,660 ", - ," 2,660 ",2,30," 2,720 ",599012
ORD-BS-00241106528-3,1/23/2020,5,Ithaca Mountain Climbers,BR-EC-022,3," 28,770 ", 96 ," 86,214 ",2,30," 86,274 ",599012
ORD-BS-00241106528-3,1/23/2020,6,Ithaca Mountain Climbers,BM-SA-095,1, 585 , - , 585 ,1,50, 635 ,599012
ORD-BS-00241106528-3,1/23/2020,7,Ithaca Mountain Climbers,BM-CC-056,1," 9,060 ", 91 ," 8,969 ",2,30," 9,029 ",599012
ORD-BS-00241106528-3,1/23/2020,8,Ithaca Mountain Climbers,BM-OC-047,4," 31,960 ", 80 ," 127,760 ",1,50," 127,810 ",599012
ORD-BS-00241106528-3,1/23/2020,9,Ithaca Mountain Climbers,BM-TA-077,1," 2,130 ", - ," 2,130 ",2,30," 2,190 ",599012
ORD-BS-00241106528-3,1/23/2020,10,Ithaca Mountain Climbers,BM-CC-066,1," 11,190 ", 112 ," 11,078 ",2,30," 11,138 ",599012
ORD-BS-00241106528-3,1/23/2020,11,Ithaca Mountain Climbers,BR-EC-002,1," 10,660 ", 107 ," 10,553 ",2,30," 10,613 ",599012
ORD-BS-00241106528-3,1/23/2020,12,Ithaca Mountain Climbers,BM-CA-065,1," 3,200 ", - ," 3,200 ",1,50," 3,250 ",599012
ORD-BS-00241106528-3,1/23/2020,13,Ithaca Mountain Climbers,BM-TA-078,1," 1,620 ", - ," 1,620 ",2,30," 1,680 ",599012
ORD-BS-00241106528-3,1/23/2020,14,Ithaca Mountain Climbers,BR-EA-012,1," 4,260 ", - ," 4,260 ",1,50," 4,310 ",599012
ORD-BS-00241106528-3,1/23/2020,15,Ithaca Mountain Climbers,BM-TC-081,1," 12,250 ", 123 ," 12,128 ",2,30," 12,188 ",599012
ORD-BS-00241106528-3,1/23/2020,16,Ithaca Mountain Climbers,BR-EC-025,1," 5,330 ", 53 ," 5,277 ",1,50," 5,327 ",599012
ORD-BS-00241106528-3,1/23/2020,17,Ithaca Mountain Climbers,BM-TC-082,1," 7,460 ", 75 ," 7,385 ",2,30," 7,445 ",599012
ORD-BS-00241106528-3,1/23/2020,18,Ithaca Mountain Climbers,BM-OC-048,1," 6,070 ", 61 ," 6,009 ",1,50," 6,059 ",599012
ORD-BS-00241106528-3,1/23/2020,19,Ithaca Mountain Climbers,BM-OC-052,1," 5,970 ", 60 ," 5,910 ",1,50," 5,960 ",599012
ORD-BS-00241106528-3,1/23/2020,20,Ithaca Mountain Climbers,BM-FA-074,1," 3,730 ", - ," 3,730 ",2,30," 3,790 ",599012
ORD-BS-00241106528-3,1/23/2020,21,Ithaca Mountain Climbers,BM-CC-062,2," 12,780 ", 64 ," 25,496 ",2,30," 25,556 ",599012
ORD-BS-00241106528-3,1/23/2020,22,Ithaca Mountain Climbers,BM-SA-090,1," 1,350 ", - ," 1,350 ",2,30," 1,410 ",599012
ORD-BS-00241106528-3,1/23/2020,23,Ithaca Mountain Climbers,BM-OC-054,2," 6,400 ", 32 ," 12,768 ",1,50," 12,818 ",599012
ORD-BS-00241106528-3,1/23/2020,24,Ithaca Mountain Climbers,BM-OC-053,1," 3,730 ", 37 ," 3,693 ",1,50," 3,743 ",599012
ORD-BS-00241106528-3,1/23/2020,25,Ithaca Mountain Climbers,BR-EC-006,1," 3,940 ", 39 ," 3,901 ",2,30," 3,961 ",599012
ORD-BS-00241106528-3,1/23/2020,26,Ithaca Mountain Climbers,BM-CC-055,1," 12,790 ", 128 ," 12,662 ",2,30," 12,722 ",599012
ORD-BS-00241150573-3,1/24/2020,1,Ithaca Mountain Climbers,BM-OC-054,1," 3,200 ", - ," 3,200 ",2,30," 3,260 ",848311
ORD-BS-00241150573-3,1/24/2020,2,Ithaca Mountain Climbers,BM-TC-083,2," 10,660 ", - ," 21,320 ",2,30," 21,380 ",848311
ORD-BS-00241150573-3,1/24/2020,3,Ithaca Mountain Climbers,BM-CC-067,1," 9,060 ", - ," 9,060 ",2,30," 9,120 ",848311
ORD-BS-00241150573-3,1/24/2020,4,Ithaca Mountain Climbers,BM-TC-082,1," 7,460 ", - ," 7,460 ",1,50," 7,510 ",848311
ORD-BS-00241150573-3,1/24/2020,5,Ithaca Mountain Climbers,BM-TA-088,1," 1,950 ", - ," 1,950 ",1,50," 2,000 ",848311
ORD-BS-00241150573-3,1/24/2020,6,Ithaca Mountain Climbers,BM-TC-084,1," 4,480 ", - ," 4,480 ",1,50," 4,530 ",848311
ORD-BS-00241150573-3,1/24/2020,7,Ithaca Mountain Climbers,BR-EA-011,1," 5,860 ", - ," 5,860 ",1,50," 5,910 ",848311
ORD-BS-00241150573-3,1/24/2020,8,Ithaca Mountain Climbers,BM-OC-053,1," 3,730 ", - ," 3,730 ",1,50," 3,780 ",848311
ORD-BS-00241150573-3,1/24/2020,9,Ithaca Mountain Climbers,BM-SA-095,1, 585 , - , 585 ,2,30, 645 ,848311
ORD-BS-00241150573-3,1/24/2020,10,Ithaca Mountain Climbers,BM-FA-075,1," 2,130 ", - ," 2,130 ",1,50," 2,180 ",848311
ORD-BS-00241150573-3,1/24/2020,11,Ithaca Mountain Climbers,BM-SA-089,2," 3,040 ", - ," 6,080 ",1,50," 6,130 ",848311
ORD-BS-00241158579-3,1/25/2020,1,Ithaca Mountain Climbers,BM-OC-049,1," 3,840 ", - ," 3,840 ",2,30," 3,900 ",185077
ORD-BS-00241158579-3,1/25/2020,2,Ithaca Mountain Climbers,BM-TA-079,1," 3,200 ", - ," 3,200 ",2,30," 3,260 ",185077
ORD-BS-00241158579-3,1/25/2020,3,Ithaca Mountain Climbers,BM-CC-070,1," 2,880 ", - ," 2,880 ",2,30," 2,940 ",185077
ORD-BS-00241158579-3,1/25/2020,4,Ithaca Mountain Climbers,BM-TA-087,1," 2,340 ", - ," 2,340 ",1,50," 2,390 ",185077
ORD-BS-00241158579-3,1/25/2020,5,Ithaca Mountain Climbers,BM-SA-095,1, 585 , - , 585 ,2,30, 645 ,185077
ORD-BS-00241158579-3,1/25/2020,6,Ithaca Mountain Climbers,BM-OC-050,1," 3,200 ", - ," 3,200 ",2,30," 3,260 ",185077
ORD-BS-00241158579-3,1/25/2020,7,Ithaca Mountain Climbers,BM-OC-052,3," 17,910 ", - ," 53,730 ",1,50," 53,780 ",185077
ORD-BS-00241158580-3,1/26/2020,1,Ithaca Mountain Climbers,BM-CA-065,1," 3,200 ", - ," 3,200 ",1,50," 3,250 ",185077
ORD-BS-00241158580-3,1/26/2020,2,Ithaca Mountain Climbers,BM-OC-053,1," 3,730 ", - ," 3,730 ",1,50," 3,780 ",185077
ORD-BS-00241158580-3,1/26/2020,3,Ithaca Mountain Climbers,BM-SA-090,1," 1,350 ", - ," 1,350 ",2,30," 1,410 ",185077
ORD-BS-00241165585-3,1/28/2020,1,Ithaca Mountain Climbers,BR-CC-043,1," 3,500 ", - ," 3,500 ",1,50," 3,550 ",185077
ORD-BS-00241165585-3,1/28/2020,2,Ithaca Mountain Climbers,BM-OC-052,1," 5,970 ", - ," 5,970 ",1,50," 6,020 ",185077
ORD-BS-00241173593-3,1/29/2020,1,Ithaca Mountain Climbers,BR-EC-002,2," 21,320 ", - ," 42,640 ",2,30," 42,700 ",205347
ORD-BS-00241173593-3,1/29/2020,2,Ithaca Mountain Climbers,BM-TA-079,2," 6,400 ", - ," 12,800 ",2,30," 12,860 ",205347
ORD-BS-00241173593-3,1/29/2020,3,Ithaca Mountain Climbers,BM-SA-093,1, 815 , - , 815 ,1,50, 865 ,205347
ORD-BS-00241173593-3,1/29/2020,4,Ithaca Mountain Climbers,BM-CC-057,1," 7,460 ", - ," 7,460 ",1,50," 7,510 ",205347
ORD-BS-00241173593-3,1/29/2020,5,Ithaca Mountain Climbers,BM-OC-049,1," 3,840 ", - ," 3,840 ",1,50," 3,890 ",205347
ORD-BS-00241173593-3,1/29/2020,6,Ithaca Mountain Climbers,BM-SA-092,1, 980 , - , 980 ,1,50," 1,030 ",205347
ORD-BS-00241173593-3,1/29/2020,7,Ithaca Mountain Climbers,BR-CC-043,2," 7,000 ", - ," 14,000 ",1,50," 14,050 ",205347
ORD-BS-00241178597-3,1/30/2020,1,Ithaca Mountain Climbers,BM-SA-093,1, 815 , - , 815 ,1,50, 865 ,359608
ORD-BS-00241178597-3,1/30/2020,2,Ithaca Mountain Climbers,BM-CC-056,1," 9,060 ", - ," 9,060 ",1,50," 9,110 ",359608
ORD-BS-00241178597-3,1/30/2020,3,Ithaca Mountain Climbers,BR-CC-043,2," 7,000 ", - ," 14,000 ",1,50," 14,050 ",359608
ORD-BS-00241178597-3,1/30/2020,4,Ithaca Mountain Climbers,BM-TC-083,1," 5,330 ", - ," 5,330 ",1,50," 5,380 ",359608
ORD-BS-00241178597-3,1/30/2020,5,Ithaca Mountain Climbers,BM-TA-079,1," 3,200 ", - ," 3,200 ",2,30," 3,260 ",359608
ORD-BS-00241178597-3,1/30/2020,6,Ithaca Mountain Climbers,BM-CC-058,3," 19,170 ", - ," 57,510 ",1,50," 57,560 ",359608
ORD-BS-00241178597-3,1/30/2020,7,Ithaca Mountain Climbers,BM-FA-075,1," 2,130 ", - ," 2,130 ",1,50," 2,180 ",359608
ORD-BS-00241178597-3,1/30/2020,8,Ithaca Mountain Climbers,BR-EC-028,1," 3,200 ", - ," 3,200 ",1,50," 3,250 ",359608
ORD-BS-00241178597-3,1/30/2020,9,Ithaca Mountain Climbers,BM-CC-057,1," 7,460 ", - ," 7,460 ",1,50," 7,510 ",359608
ORD-BS-00241178597-3,1/30/2020,10,Ithaca Mountain Climbers,BM-OC-052,1," 5,970 ", - ," 5,970 ",1,50," 6,020 ",359608
ORD-BS-00241178597-3,1/30/2020,11,Ithaca Mountain Climbers,BM-TA-076,1," 2,770 ", - ," 2,770 ",1,50," 2,820 ",359608
ORD-BS-00241178597-3,1/30/2020,12,Ithaca Mountain Climbers,BM-TA-087,1," 2,340 ", - ," 2,340 ",2,30," 2,400 ",359608
ORD-BS-00241178597-3,1/30/2020,13,Ithaca Mountain Climbers,BM-CC-067,1," 9,060 ", - ," 9,060 ",1,50," 9,110 ",359608
ORD-BS-00241178599-3,2/1/2020,1,Ithaca Mountain Climbers,BM-CC-057,1," 7,460 ", - ," 7,460 ",1,50," 7,510 ",205347
